"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável","Sexo (Código)","Sexo","Idade (Código)","Idade","Forma de declaração da idade (Código)","Forma de declaração da idade"
"39","3","Unidade da Federação","45","Pessoas",1671,"11","Rondônia","2022","2022","93","População residente","6794","Total","93080","9 meses","6555","Data de nascimento"
"40","3","Unidade da Federação","45","Pessoas",231,"11","Rondônia","2022","2022","93","População residente","6794","Total","93080","9 meses","6556","Idade presumida"
"41","3","Unidade da Federação","45","Pessoas",1822,"11","Rondônia","2022","2022","93","População residente","6794","Total","93081","10 meses","113635","Total"
"42","3","Unidade da Federação","45","Pessoas",1674,"11","Rondônia","2022","2022","93","População residente","6794","Total","93081","10 meses","6555","Data de nascimento"
"43","3","Unidade da Federação","45","Pessoas",148,"11","Rondônia","2022","2022","93","População residente","6794","Total","93081","10 meses","6556","Idade presumida"
"44","3","Unidade da Federação","45","Pessoas",1723,"11","Rondônia","2022","2022","93","População residente","6794","Total","93082","11 meses","113635","Total"
"45","3","Unidade da Federação","45","Pessoas",1567,"11","Rondônia","2022","2022","93","População residente","6794","Total","93082","11 meses","6555","Data de nascimento"
"46","3","Unidade da Federação","45","Pessoas",156,"11","Rondônia","2022","2022","93","População residente","6794","Total","93082","11 meses","6556","Idade presumida"
"47","3","Unidade da Federação","45","Pessoas",21218,"11","Rondônia","2022","2022","93","População residente","6794","Total","6558","1 ano","113635","Total"
"48","3","Unidade da Federação","45","Pessoas",18836,"11","Rondônia","2022","2022","93","População residente","6794","Total","6558","1 ano","6555","Data de nascimento"
"49","3","Unidade da Federação","45","Pessoas",2382,"11","Rondônia","2022","2022","93","População residente","6794","Total","6558","1 ano","6556","Idade presumida"
"50","3","Unidade da Federação","45","Pessoas",22711,"11","Rondônia","2022","2022","93","População residente","6794","Total","6559","2 anos","113635","Total"
"51","3","Unidade da Federação","45","Pessoas",19474,"11","Rondônia","2022","2022","93","População residente","6794","Total","6559","2 anos","6555","Data de nascimento"
"52","3","Unidade da Federação","45","Pessoas",3237,"11","Rondônia","2022","2022","93","População residente","6794","Total","6559","2 anos","6556","Idade presumida"
"53","3","Unidade da Federação","45","Pessoas",24054,"11","Rondônia","2022","2022","93","População residente","6794","Total","6560","3 anos","113635","Total"
"54","3","Unidade da Federação","45","Pessoas",20231,"11","Rondônia","2022","2022","93","População residente","6794","Total","6560","3 anos","6555","Data de nascimento"
"55","3","Unidade da Federação","45","Pessoas",3823,"11","Rondônia","2022","2022","93","População residente","6794","Total","6560","3 anos","6556","Idade presumida"
"56","3","Unidade da Federação","45","Pessoas",23795,"11","Rondônia","2022","2022","93","População residente","6794","Total","6561","4 anos","113635","Total"
"57","3","Unidade da Federação","45","Pessoas",19740,"11","Rondônia","2022","2022","93","População residente","6794","Total","6561","4 anos","6555","Data de nascimento"
"58","3","Unidade da Federação","45","Pessoas",4055,"11","Rondônia","2022","2022","93","População residente","6794","Total","6561","4 anos","6556","Idade presumida"
"59","3","Unidade da Federação","45","Pessoas",117536,"11","Rondônia","2022","2022","93","População residente","6794","Total","93084","5 a 9 anos","113635","Total"
"60","3","Unidade da Federação","45","Pessoas",95054,"11","Rondônia","2022","2022","93","População residente","6794","Total","93084","5 a 9 anos","6555","Data de nascimento"
"61","3","Unidade da Federação","45","Pessoas",22482,"11","Rondônia","2022","2022","93","População residente","6794","Total","93084","5 a 9 anos","6556","Idade presumida"
