"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"2610509";2009;338;1;2754;3;1942;382;1;2946;1
"2610608";2174;1297;8;5213;8;2393;1457;20;6335;15
"2610707";17277;9665;74;31128;157;19758;10398;110;35678;183
"2610806";1284;327;NA;2016;10;1179;376;2;2525;11
"2610905";2815;718;8;3768;2021;3669;829;43;5499;2670
"2611002";1186;400;9;3033;462;1096;400;2;3736;605
"2611101";17199;8826;162;33653;372;17265;9092;194;41301;394
"2611200";444;90;1;764;71;776;122;4;1442;134
"2611309";1757;493;5;2618;13;1825;437;11;2702;1
"2611408";789;249;NA;1245;NA;722;217;4;1264;NA
"2611507";803;341;4;1555;3;1015;332;6;2063;3
"2611533";422;75;1;666;NA;366;91;1;654;2
"2611606";91786;33507;490;115396;591;111222;42566;730;151008;708
"2611705";2006;179;3;2276;3;1560;123;5;1586;3
"2611804";1324;598;NA;2925;10;2013;680;4;4359;6
"2611903";791;776;5;2105;5;567;625;6;1560;4
"2612000";945;154;7;961;3;985;147;9;906;1
"2612109";357;118;NA;474;NA;417;98;1;586;NA
"2612208";2234;1523;28;5184;445;2322;1671;29;6397;573
"2612307";661;195;4;1212;5;897;236;8;1573;7
"2612406";1057;240;1;1531;15;1301;271;6;2172;11
"2612455";761;124;5;1421;1;617;126;NA;1312;3
"2612471";520;183;4;1308;3;440;176;7;1339;2
"2612505";6037;1263;60;8259;24;7387;1259;104;10349;26
"2612554";574;113;1;1327;2;536;103;8;1426;1
"2612604";966;1422;3;3399;58;776;1599;3;4266;46
"2612703";803;120;4;1322;2;1033;122;8;1527;1
"2612802";618;117;2;766;5;838;160;5;1224;1
"2612901";495;234;NA;1053;1;561;224;4;1280;1
"2613008";2969;595;7;4645;17;3052;668;13;5245;12
"2613107";2463;547;8;2890;16;3045;593;23;3901;11
"2613206";1337;289;2;2577;NA;1120;221;1;2377;2
"2613305";1678;204;6;1775;4;1597;206;1;1743;NA
"2613404";671;358;2;1828;3;670;330;2;2240;2
"2613503";1326;606;6;3945;79;1105;536;3;3870;54
"2613602";2261;364;7;2876;5;2292;373;17;3649;12
"2613701";5027;3207;25;9511;36;6234;3464;37;11867;26
"2613800";818;277;NA;1318;NA;1037;375;3;1845;2
"2613909";5121;1836;14;9597;134;4610;1718;27;9218;159
"2614006";644;300;6;2085;1;533;229;8;1770;2
"2614105";1748;498;7;3175;10;2038;555;8;3735;10
"2614204";1430;1230;1;4074;4;1122;854;6;3172;NA
"2614303";382;110;2;1090;1;460;155;NA;1286;2
"2614402";537;55;3;479;3;357;38;1;324;NA
"2614501";4071;625;11;4871;8;5743;660;16;6710;18
"2614600";1957;323;5;2324;4;2229;307;6;2817;10
"2614709";897;93;5;1340;NA;938;100;8;1448;NA
"2614808";547;141;10;1861;865;510;140;4;2157;1114
"2614857";804;717;3;1951;2;917;821;6;2414;3
